name,id_str,CO_PER_ROL,YEAR,EXEC_FULLNAME,followers_count,friends_count,lang,account_created
pcourtot,'29591744,52092,2017,Philippe F. Courtot,69,116,en,2009-04-08 00:36:52
BronsonRadisys,'897092383988469760,33045,2017,Brian J. Bronson,154,99,en,2017-08-14 13:47:46
DaveLiniger,'84450634,52168,2017,David L. Liniger,4807,4,en,2009-10-22 23:20:18
DPosted,'857353406,47411,2017,Denny Marie Post,544,65,en,2012-10-02 02:12:14
ResMedMick,'1345287433,47964,2017,"Michael J. Farrell, BE, SM, MBA",2224,851,en,2013-04-11 20:55:45
EddieLehner,'490907307,46695,2017,Edward J. Lehner,39,70,en,2012-02-13 01:36:31
Benioff,'22330739,37655,2017,Marc R. Benioff,992786,2582,en,2009-03-01 04:16:24
WaltBettinger,'160627505,30592,2017,"Walter William Bettinger, II",5557,243,en,2010-06-28 18:19:01
OldCrowP51,'913385868592861184,11735,2017,James S. Hagedorn,13,27,en,2017-09-28 12:52:15
RichBoehne,'563760605,20955,2017,Richard A. Boehne,256,16,en,2012-04-26 14:21:22
denny_hudson,'1358378696,57734,2017,"Dennis S. Hudson, III",50,22,en,2013-04-17 02:33:09
randygarutti,'290843219,53916,2017,Randall J. Garutti,3593,390,en,2011-05-01 01:29:31
jonoringer,'23890475,53515,2017,Jonathan Oringer,26586,1895,en,2009-03-12 04:00:38
gttuttle,'20944548,45718,2017,G. Tyson Tuttle,290,101,en,2009-02-15 22:50:01
ScottSmithSonic,'428414214,36421,2017,B. Scott Smith,728,366,en,2011-12-04 18:47:30
MichaelRenna95,'784442336961069060,32759,2017,Michael J. Renna,60,345,en,2016-10-07 17:16:42
ThomasAFanning,'716008348697698305,27703,2017,Thomas A. Fanning,1579,175,en,2016-04-01 21:04:28
gary_kelly,'3128022438,19145,2017,Gary C. Kelly,7191,1,en,2015-04-01 21:35:35
HowardSchultz,'807442387,10976,2017,Howard D. Schultz,97614,37,en,2012-09-06 19:18:55
RonKruszewski,'416390629,37912,2017,Ronald James Kruszewski,30,26,en,2011-11-19 16:32:33
Karl_McDonnell,'249441251,35047,2017,Karl McDonnell,10448,1942,en,2011-02-09 01:51:25
RickBergmanSyna,'3078581395,46377,2017,Richard A. Bergman,378,129,en,2015-03-13 23:34:55
SYFMKeane,'3274870219,51767,2017,Margaret M. Keane,1521,206,en,2015-07-10 19:34:38
TimHockey,'24425930,53965,2017,Timothy D. Hockey,9062,1150,en,2009-03-14 20:38:43
CalvinKnowlton,'720071376,59282,2017,Calvin H. Knowlton,47,12,en,2012-07-27 12:32:04
uprmgmt,'84160938,56186,2017,Gerald R. Mattys,3,2,en,2009-10-21 20:56:53
DTLougee,'576408469,37074,2017,David T. Lougee,967,411,en,2012-05-10 17:15:03
VicLLund,'735193182921740288,54550,2017,Victor Lynn Lund,1074,18,en,2016-05-24 19:38:08
DonatoTramuto,'2228584789,52753,2017,Donato J. Tramuto,1293,152,en,2013-12-03 17:10:30
TRVSchnitz,'2752242290,34273,2017,Alan David Schnitzer,17,14,en,2014-08-21 14:16:02
kaufer,'21892507,46081,2017,Stephen Kaufer,6751,290,en,2009-02-25 17:42:19
RickGoingsTUP,'3665601617,10790,2017,E. V. Goings,1937,0,en,2015-09-15 16:22:27
jamesmurdoch83,'584272498,36577,2017,James Rupert Murdoch,489,1516,und,2012-05-18 23:57:14
jack,'12,60377,2017,Jack Dorsey,4150201,3805,en,2006-03-21 20:50:14
Tom_Hayes,'2800158652,53892,2017,Thomas P. Hayes,3761,208,en,2014-10-02 14:40:21
USANA_Kevin,'381742923,32598,2017,Kevin G. Guest,1007,79,en,2011-09-28 21:21:59
PAltabef,'553985573,51968,2017,Peter A. Altabef,81,30,en,2012-04-15 01:56:06
Skybiome,'2704459736,37941,2017,Martine A. Rothblatt,703,166,en,2014-08-03 16:26:43
mmissad1,'2385889136,27078,2017,"Matthew Jon Missad, CPA",8,12,en,2014-03-12 22:23:32
UnumRick,'819741280192303105,42292,2017,Richard Paul McKenney,313,49,en,2017-01-13 03:02:06
SunnySanyal,'1958781902,54363,2017,Sunny S. Sanyal,28,24,und,2013-10-13 14:17:43
PaulGalant,'2162798647,48646,2017,Paul S. Galant,1198,536,en,2013-10-29 12:52:02
sgsyes0619,'1665513860,51685,2017,Scott G. Stephenson,4,19,en,2013-08-12 16:47:17
LearningMoment,'103626107,9198,2017,Garry O. Ridge,1410,372,en,2010-01-10 17:58:43
jimfishwm,'888130007029104641,47170,2017,"James C. Fish, Jr.",6660,31,en,2017-07-20 20:14:29
mindygrossman,'1513126424,59618,2017,Mindy F. Grossman,2382,68,en,2013-06-13 11:26:11
toddpenegor33,'451696596,48706,2017,Todd Allan Penegor,11,6,en,2011-12-31 21:50:52
