CO_PER_ROL,YEAR,EXEC_FULLNAME,T_NAME
51795,2017,"William Howard Lenehan, IV",X
53637,2017,Larry L. Enterline,X
55446,2017,Steven Paul Lawrence,X
17953,2017,Robert A. Whitman,X
44787,2017,Gregg C. Sengstack,X
20677,2017,"Gregory Eugene Johnson, CPA",X
39928,2017,George John Carter,X
51089,2017,Michael K. R. Bloom,X
9286,2017,Richard C. Adkerson,X
29304,2017,Daniel J. McCarthy,X
37366,2017,E. Philip Wenger,X
48307,2017,"Paul Anthony Novelly, II",X
14104,2017,Brian A. Kenney,X
36597,2017,"George C. Zoley, Ph.D.",X
13078,2017,Ronald A. Duncan,X
45550,2017,Sandeep Lakhmi Mathrani,X
11164,2017,Morris Goldfarb,X
54605,2017,Patrick M. Gallagher,X
37664,2017,J. Paul Raines,X
51408,2017,Robert J. Dickey,X
37246,2017,Arthur Peck,Artpeck
54375,2017,Vicente Reynal,X
29496,2017,Eugene A. Hall,X
52784,2017,Michael T. McDonnell,X
45152,2017,Phebe N. Novakovic,X
21042,2017,Jeffrey R. Immelt,JeffImmelt
47522,2017,Mary T. Barra,mtbarra
29493,2017,Robert J. Dennis,X
46363,2017,John C. Hellmann,X
33962,2017,Paul D. Donahue,X
49157,2017,Thomas Joseph McInerney,TomMcInerney82
50760,2017,Daniel R. Coker,X
46549,2017,Walter R. Wheeler,X
48721,2017,Christopher J. Constant,X
50769,2017,Frank G. Heard,X
27491,2017,John F. Milligan,X
52152,2017,Randall M. Chesler,X
53289,2017,Robert B. Fernander,X
24068,2017,Dante C. Parrini,X
44570,2017,"Jeffrey S. Sloan, J.D.",X
53993,2017,David C. Paul,X
24950,2017,Lloyd C. Blankfein,lloydblankfein
28457,2017,Richard J. Kramer,X
46399,2017,David M. Blackman,X
31669,2017,Alfred E. Festa,X
22036,2017,Patrick J. McHale,X
50624,2017,Timothy J. OShaughnessy,oshy
38953,2017,Donald G. MacPherson,X
29018,2017,James Hildebrand Roberts,X
53738,2017,"Richard S. Chernicoff, J.D.",X
34682,2017,Terry D. Bassham,X
52718,2017,Kenneth James Karels,X
57824,2017,"Manuel J. Mehos, CPA, CPA",X
48072,2017,Steven W. Streit,X
48293,2017,Todd A. Becker,X
51821,2017,William A. Furman,X
35826,2017,"Scott L. Bok, J.D.",X
50039,2017,Peter G. Watson,X
36556,2017,Ronald J. Kramer,X
31166,2017,"Earl J. Hesterberg, Jr.",X
53449,2017,Amigo Victor Herrero,X
36250,2017,Kirk J. Meche,X
49553,2017,Quintin V. Kneen,X
42963,2017,Michael G. Moore,X
39322,2017,Thomas M. Herzog,X
48066,2017,Pareshbhai Suryakant Patel,X
51230,2017,Mark D. Gibson,X
24028,2017,Stanley A. Askren,X
34783,2017,William C. Lucia,BCLHMS
48404,2017,Dion J. Weisler,dionweisler
55491,2017,Christopher Simon,X
18221,2017,Irwin David Simon,X
47017,2017,Jeffrey Allen Miller,X
49891,2017,Robert E. Abernathy,X
33994,2017,John M. Hairston,X
36084,2017,"Gerald W. Evans, Jr.",X
43845,2017,Vinit K. Asar,X
48991,2017,Chong Guk Kum,X
54937,2017,Joseph Michael Zubretsky,X
39290,2017,Matthew S. Levatich,X
24272,2017,Patrick J. Harshman,X
46303,2017,William M. Brown,X
48394,2017,"F. Nicholas Grasberger, III",X
52624,2017,Karen A. Puckett,Karen_A_Puckett
43932,2017,Christopher Jerome Swift,X
21459,2017,Brian D. Goldner,_bgoldner
27441,2017,Clarence H. Smith,X
23923,2017,Constance Hee Lau,X
51281,2017,Mark B. Dunkerley,X
44486,2017,Mark M. Comerford,X
37431,2017,Theodore Wahl,edWahlHCSG
45557,2017,Todd J. Meredith,X
46240,2017,"Robert A. Frist, Jr.",X
51373,2017,Jon Kessler,X
28921,2017,Michael J. Gerdin,X
24817,2017,"Phillips S. Baker, Jr.",X
52952,2017,Krishnan Rajagopalan,KRajagopalan_
18111,2017,Owen E. Kratz,X
32073,2017,John W. Lindsay,X
51593,2017,David B. Foss,X
54449,2017,Jay H. Shah,X
30359,2017,Michele Gross Buck,X
54973,2017,Kevin S. Wilson,X
79,2017,John B. Hess,X
51789,2017,Margaret Cushing Whitman,MegWhitman
27864,2017,Jeffry O. Rosenthal,X
37424,2017,R. Scot Woodall,X
26485,2017,Edward J. Fritsch,X
43058,2017,John J. Greisch,X
36629,2017,Joe A. Raver,X
47815,2017,Christopher J. Nassetta,X
38622,2017,George J. Damiris,X
49889,2017,Stephen P. MacMillan,X
39973,2017,C. Randall Sims,X
34193,2017,Craig A. Menear,X
54003,2017,Mark K. Mason,Masoniam
54028,2017,Darius E. Adamczyk,X
49288,2017,Henry E. Dubois,X
49506,2017,"Kevin Sung Kim, J.D.",X
48929,2017,Marita Zuraitis,X
53878,2017,James P. Snee,X
33011,2017,Todd M. Hornbeck,X
23057,2017,John G. Murray,X
32438,2017,James F. Risoleo,X
30914,2017,Ara K. Hovnanian,X
30455,2017,David P. Yeager,X
32756,2017,David G. Nord,X
45547,2017,Bruce Dale Broussard,BruceDBroussard
45173,2017,"John N. Roberts, III",X
38979,2017,Stephen D. Steinour,X
44347,2017,C. Michael Petters,X
53240,2017,Joseph M. Levin,joeyl
51117,2017,Vivek Jain,X
37975,2017,Craig M. Nash,X
