name,id_str,CO_PER_ROL,YEAR,EXEC_FULLNAME,followers_count,friends_count,lang,account_created,location,verified
chrisoddleifson,'2743155080,39396,2017,Christopher Oddleifson,101,41,en,2014/8/18 21:41,,FALSE
bkrunner,'250722893,47026,2017,Brian M. Krzanich,19737,15,en,2011/2/11 17:31,"Silicon Valley, CA",TRUE
LesaISC,'264266813,18155,2017,Lesa France Kennedy,2311,156,en,2011/3/11 16:28,"Daytona Beach, FL",TRUE
IntuitBrad,'591185779,30009,2017,Brad D. Smith,11252,576,en,2012/5/26 19:25,"Mountain View, California",TRUE
IridiumBoss,'29291334,50397,2017,Matthew J. Desch,8669,581,en,2009/4/6 20:56,"Washington, DC",FALSE
HandlerRich,'1908078548,48744,2017,Richard Brian Handler,1782,4,en,2013/9/26 14:24,"Tribeca, Manhattan",TRUE
ramirahim,'25614274,47383,2017,Rami Rahim,4704,173,en,2009/3/21 01:14,"Sunnyvale, CA",TRUE
Les_Wexner,'935604146383806465,1329,2017,Leslie H. Wexner,110,2,en,2017/11/28 20:19,"New Albany, OH",FALSE
JasonDLippert,'884430959986298880,31113,2017,Jason D. Lippert,163,36,en,2017/7/10 15:15,"Indiana, USA",FALSE
DougLebda,'21094145,51515,2017,Douglas R. Lebda,1105,296,en,2009/2/17 14:50,"Charlotte, NC",FALSE
bill_angrick,'3409131729,43015,2017,"William P. Angrick, III",53,87,en,2015/8/8 20:59,"Washington, DC",FALSE
RobLoCascio,'17807401,44266,2017,Robert P. LoCascio,2206,368,en,2008/12/2 13:43,NYC,FALSE
B_Wagner,'98006282,49214,2017,William R. Wagner,1892,757,en,2009/12/19 23:48,"Boston, MA",FALSE
albala,'18272589,37869,2017,Alfredo Bala,1536,1262,en,2008/12/20 21:01,"Dallas,TX",FALSE
JonasPrising,'15814436,34053,2017,Jonas Prising,6983,353,en,2008/8/11 21:54,"Milwaukee, WI",FALSE
GregorySMarcus,'858037832832516096,29848,2017,Gregory S. Marcus,1,3,es,2017/4/28 19:18,,FALSE
